Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,30.700001,30.990000,30.270000,30.959999,30.959999,1293400
2021-11-30,30.719999,30.969999,30.309999,30.540001,30.540001,1143600
2021-12-01,31.959999,32.209999,31.250000,31.280001,31.280001,1823100
2021-12-02,31.830000,32.209999,31.570000,31.969999,31.969999,1444400
2021-12-03,32.000000,32.060001,31.090000,31.450001,31.450001,810100
2021-12-06,31.000000,31.049999,30.350000,30.799999,30.799999,2259500
2021-12-07,31.980000,32.150002,31.719999,31.850000,31.850000,1042600
2021-12-08,32.500000,32.880001,32.400002,32.610001,32.610001,752500
2021-12-09,32.490002,32.610001,32.090000,32.139999,32.139999,904100
2021-12-10,32.619999,32.810001,32.369999,32.750000,32.750000,474500
2021-12-13,32.240002,32.459999,31.690001,31.950001,31.950001,694300
2021-12-14,31.709999,31.969999,31.410000,31.690001,31.690001,1928500
2021-12-15,31.940001,32.180000,31.299999,32.150002,32.150002,1219400
2021-12-16,32.180000,32.299999,31.549999,31.629999,31.629999,856400
2021-12-17,30.160000,30.770000,30.030001,30.309999,30.309999,1178100
2021-12-20,29.240000,29.570000,28.870001,29.469999,29.469999,1214400
2021-12-21,29.879999,30.430000,29.879999,30.379999,30.379999,686400
2021-12-22,30.930000,31.520000,30.889999,31.500000,31.500000,404900
2021-12-23,31.160000,31.420000,31.100000,31.209999,31.209999,480300
2021-12-27,31.190001,31.790001,31.160000,31.780001,31.780001,678100
2021-12-28,32.080002,32.080002,31.600000,31.719999,31.719999,2110400
2021-12-29,31.600000,31.660000,31.450001,31.549999,31.549999,346900
2021-12-30,31.530001,31.660000,31.309999,31.330000,31.330000,481700
2021-12-31,32.180000,32.369999,32.049999,32.090000,32.090000,508400
2022-01-03,33.279999,33.599998,32.950001,33.480000,33.480000,1470600
2022-01-04,32.770000,33.000000,32.139999,32.230000,32.230000,1456300
2022-01-05,32.389999,32.720001,31.809999,31.950001,31.950001,969500
2022-01-06,32.500000,33.060001,32.369999,32.849998,32.849998,943900
2022-01-07,32.810001,32.919998,32.369999,32.880001,32.880001,598000
2022-01-10,33.380001,33.880001,33.330002,33.630001,33.630001,1077300
2022-01-11,33.639999,34.180000,33.450001,34.130001,34.130001,561200
2022-01-12,34.360001,34.700001,34.189999,34.320000,34.320000,609900
2022-01-13,34.470001,34.650002,33.860001,34.000000,34.000000,739800
